SPIC,65,49,36,29,18
CYIENT,44,28,18,9,7
DAAWAT,45,29,18,14,8
DABUR,13,1,0,0,0
SURYAROSNI,65,37,27,18,14
SUTLEJTEX,65,43,31,20,19
ARVIND,65,50,31,24,16
DANGEE,19,14,11,5,4
ADROITINFO,64,60,53,4,4
DATAPATTNS,3,3,2,2,2
DBCORP,38,20,15,13,8
DBL,43,27,21,13,11
AYMSYNTEX,64,46,32,7,4
DVL,64,34,25,21,19
FELDVR,64,41,30,5,5
DCBBANK,28,14,9,6,5
DCM,40,33,28,7,7
GATI,64,44,27,15,12
GINNIFILA,64,48,29,16,13
HINDOILEXP,64,46,31,22,13
DCMSRIND,1,0,0,0,0
HUBTOWN,64,59,58,0,0
IEX,64,36,21,12,8
DEEPAKFERT,42,28,20,12,8
INOXWIND,64,40,31,21,14
DEEPENR,39,23,13,9,7
DEEPINDS,45,31,24,21,16
DELPHIFX,16,10,8,5,5
NAGAFERT,64,58,56,0,0
KIOCL,64,47,37,12,9
DEN,38,23,15,8,4
KPITTECH,64,45,31,23,10
DEVYANI,25,16,12,8,7
DFMFOODS,33,17,11,8,6
DGCONTENT,48,39,34,8,6
SASTASUNDR,64,56,46,10,8
DHANBANK,32,22,17,11,7
RUSHIL,64,53,49,12,10
DHANUKA,17,8,4,4,1
DHARAMSI,2,1,1,1,1
INTENTECH,64,51,40,22,17
DHRUV,6,6,4,2,2
SHREEPUSHK,64,37,24,16,10
DIAMONDYD,37,22,14,10,7
DICIND,31,14,9,5,4
DIGISPICE,33,30,28,0,0
DIGJAMLMTD,43,43,43,3,3
DISHTV,34,25,20,15,14
DIVISLAB,25,9,1,1,1
SHRENIK,64,41,31,18,16
TATAMTRDVR,64,39,29,19,13
DLINKINDIA,49,34,21,14,12
DMART,37,24,9,7,2
TNPETRO,64,45,26,19,15
DODLA,12,8,5,3,2
WILLAMAGOR,64,51,38,21,17
DOLLAR,47,29,20,15,8
DPABHUSHAN,63,45,26,16,15
DPWIRES,63,43,32,19,18
DPSCLTD,49,29,22,18,15
EMKAY,63,41,31,24,17
DREDGECORP,37,22,13,11,5
DRREDDY,16,6,1,0,0
FCL,63,45,31,19,10
DTIL,42,22,15,12,10
GOLDIAM,63,45,26,21,16
GTPL,63,43,26,16,10
HINDCOPPER,63,49,39,24,20
DYNAMATECH,34,25,20,15,13
KDDL,63,47,37,19,15
MANINFRA,63,45,28,18,10
ECLERX,41,26,14,7,5
MANUGRAPH,63,48,34,12,12
EICHERMOT,31,14,5,1,0
EIDPARRY,41,24,13,8,5
EIFFL,15,6,6,0,0
EIHAHOTELS,40,26,9,8,5
EIHOTEL,43,21,10,8,4
EIMCOELECO,32,17,13,11,8
MINDAIND,63,35,23,14,10
NAHARCAP,63,47,38,20,14
ELECTCAST,47,28,21,15,8
ELECTHERM,46,27,17,15,11
ELGIEQUIP,46,25,14,9,9
ELGIRUBCO,49,34,20,16,12
EMAMILTD,36,13,3,1,0
EMAMIPAP,43,35,25,19,12
TCIFINANCE,63,56,41,22,21
RENUKA,63,54,51,17,13
EMMBI,47,27,19,16,11
ENDURANCE,33,15,7,4,2
SPECIALITY,63,41,29,21,14
ENGINERSIN,23,12,10,2,1
ENIL,48,34,23,15,13
EPL,39,24,8,5,2
EQUIPPP,45,45,35,6,6
EQUITAS,45,29,18,12,5
ERIS,29,12,8,5,3
SUBEXLTD,63,44,31,27,19
ESABINDIA,37,24,15,8,8
ESCORTS,37,20,10,5,2
ESSARSHPNG,38,26,19,14,13
ESTER,45,32,21,12,10
EUROTEXIND,35,34,30,0,0
RHFL,63,51,31,7,7
VIKASPROP,63,37,26,13,11
EXCEL,45,38,18,0,0
EXCELINDUS,33,21,16,9,7
EXIDEIND,20,7,4,3,1
WSTCSTPAPR,63,35,18,11,8
EXXARO,17,12,7,4,2
ALLSEC,62,40,28,20,14
ANSALHSG,62,47,36,15,15
AURIONPRO,62,47,37,16,14
FCONSUMER,44,30,23,20,15
FCSSOFT,23,20,10,9,5
FDC,28,15,7,3,3
FEDERALBNK,44,19,10,6,3
FEL,47,35,27,13,11
CANBK,62,31,12,7,4
COSMOFILMS,62,45,26,21,16
DHARSUGAR,62,58,51,9,9
FINCABLES,38,27,11,6,4
FINEORG,36,20,13,6,4
FINOPB,5,3,3,2,2
FINPIPE,39,23,11,6,3
GENUSPOWER,62,46,36,22,15
LSIL,62,56,44,7,2
PRIMESECU,62,52,32,5,3
FMGOETZE,28,13,5,2,2
GREAVESCOT,62,42,24,16,10
FOCUS,8,6,1,0,0
FOODSIN,8,7,5,0,0
FORCEMOT,33,18,8,4,3
HBSL,62,47,37,12,12
FOSECOIND,23,12,8,5,4
FRETAIL,47,35,26,10,9
HIKAL,62,44,35,21,16
INTELLECT,62,42,32,16,11
GABRIEL,44,31,20,12,8
KOPRAN,62,48,39,11,7
GAIL,36,19,9,2,2
GOKUL,62,51,43,21,14
